CMS Certification Number (CCN),Provider Name,City/Town,County/Parish,State,health_inspection_rating,short_stay_qm_rating,adjusted_total_nurse_hours_per_resident_day,estimated_occupancy_rate,abuse_icon_flag,total_weighted_health_survey_score,rating_cycle_1_total_health_score
335328,PALM GARDENS CENTER FOR NURSING AND REHABILITATION,BROOKLYN,Kings,NY,3.0,1.0,2.82024,0.9633333333333333,0,34.0,28.0
335537,"RUTLAND NURSING HOME, INC",BROOKLYN,Kings,NY,1.0,5.0,3.97797,0.8252788104089219,1,96.0,120.0
335748,SAINTS JOACHIM & ANNE NURSING AND REHAB CENTER,BROOKLYN,Kings,NY,4.0,5.0,2.85604,0.9484999999999999,0,15.0,8.0
335381,SCHULMAN AND SCHACHNE INST FOR NURSING & REHAB,BROOKLYN,Kings,NY,2.0,3.0,3.97546,0.8613839285714285,0,59.0,56.0
335411,SEA CREST NURSING AND REHABILITATION CENTER,BROOKLYN,Kings,NY,4.0,4.0,2.88975,0.898125,0,13.0,8.0
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,Kings,NY,1.0,5.0,2.44081,0.9741666666666666,1,110.75,145.0
335677,SHEEPSHEAD NURSING & REHABILITATION CENTER,BROOKLYN,Kings,NY,2.0,3.0,3.13097,0.95,0,39.0,48.0
335288,SHORE VIEW NURSING  & REHABILITATION CENTER,BROOKLYN,Kings,NY,5.0,5.0,2.86309,0.8884375,0,3.0,4.0
335125,SPRING CREEK REHABILITATION & NURSING CARE CENTER,BROOKLYN,Kings,NY,3.0,4.0,2.8013,1.0305555555555554,0,38.0,40.0
335290,THE CHATEAU AT BROOKLYN REHAB AND NURSING CENTER,BROOKLYN,Kings,NY,4.0,5.0,2.45673,0.9592592592592594,0,15.0,8.0
335104,THE HERITAGE REHABILITATION AND HEALTH CARE CENTER,BROOKLYN,Kings,NY,5.0,4.0,2.9674,0.9518987341772153,0,7.0,8.0
335560,THE MONARCH AT BROOKLYN REHAB AND NURSING CENTER,BROOKLYN,Kings,NY,4.0,5.0,2.87168,0.9784999999999999,0,23.0,16.0
335516,THE PHOENIX REHABILITATION AND NURSING CENTER,BROOKLYN,Kings,NY,4.0,5.0,2.60423,0.9782500000000001,0,11.0,12.0
335140,BELAIR CARE CENTER INC,BELLMORE,Nassau,NY,4.0,5.0,3.20056,0.9529411764705883,0,20.0,20.0
335161,DALEVIEW CARE CENTER,EAST FARMINGDALE,Nassau,NY,3.0,5.0,3.04335,0.8577464788732394,0,33.0,28.0
335831,FULTON COMMONS CARE CENTER INC,EAST MEADOW,Nassau,NY,2.0,3.0,3.34719,0.9732142857142857,0,39.0,32.0
335817,GARDEN CARE CENTER,FRANKLIN SQUARE,Nassau,NY,3.0,5.0,2.69123,0.9486666666666668,0,35.0,28.0
335796,MEADOWBROOK CARE CENTER,FREEPORT,Nassau,NY,4.0,5.0,2.94303,0.9546428571428572,0,14.0,12.0
335156,SOUTH SHORE REHABILITATION AND NURSING CENTER,FREEPORT,Nassau,NY,2.0,5.0,2.85124,0.9159999999999999,0,53.0,52.0
335141,EMERGE NURSING AND REHABILITATION AT GLEN COVE,GLEN COVE,Nassau,NY,5.0,5.0,3.11529,0.8833333333333333,0,10.0,8.0
335716,GLEN COVE CENTER FOR NURSING AND REHABILITATION,GLEN COVE,Nassau,NY,3.0,5.0,3.14911,0.9279220779220779,0,27.0,28.0
335211,GLENGARIFF HEALTH CARE CENTER,GLEN COVE,Nassau,NY,2.0,5.0,2.63215,0.8908396946564886,0,54.0,52.0
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,GREAT NECK,Nassau,NY,3.0,5.0,3.87402,0.9904999999999999,0,36.0,40.0
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,GREAT NECK,Nassau,NY,1.0,5.0,2.82288,0.9677570093457943,0,71.5,28.0
335808,HEMPSTEAD PARK NURSING HOME,HEMPSTEAD,Nassau,NY,2.0,1.0,3.00923,0.9282868525896414,1,64.75,48.0
335279,MAYFAIR CARE CENTER,HEMPSTEAD,Nassau,NY,2.0,1.0,3.06405,0.9525,0,49.0,44.0
335787,NASSAU REHABILITATION & NURSING CENTER,HEMPSTEAD,Nassau,NY,2.0,5.0,2.83129,1.01,0,53.5,66.0
335162,THE GRAND REHABILITATION AND NURSING AT SOUTH POIN,ISLAND PARK,Nassau,NY,2.0,1.0,3.03486,0.9643243243243244,0,44.0,48.0
