CMS Certification Number (CCN),Provider Name,City/Town,County/Parish,State,health_inspection_rating,short_stay_qm_rating,adjusted_total_nurse_hours_per_resident_day,estimated_occupancy_rate,abuse_icon_flag,total_weighted_health_survey_score,rating_cycle_1_total_health_score,missing_metric_count,disqualified_top10_flag,health_inspection_rating_component,short_stay_qm_rating_component,adjusted_total_nurse_hours_per_resident_day_component,estimated_occupancy_rate_component,abuse_icon_flag_component,rating_cycle_1_total_health_score_component,total_weighted_health_survey_score_component,composite_score,eligible_for_top10,overall_rank,eligible_rank
335555,WOODBURY HEIGHTS NURSING AND REHABILITATION CENTER,WOODBURY,Nassau,NY,1.0,4.0,4.35052,0.35544554455445543,0,127.5,68.0,0,False,0.0,0.75,0.42655316630191836,0.8320880335545455,1.0,0.8702290076335878,0.8172043010752688,0.7935893268338866,True,34,34.0
315417,REFORMED CHURCH HOME,OLD BRIDGE,Middlesex,NJ,5.0,5.0,4.14357,0.8777777777777778,0,6.0,4.0,0,False,1.0,1.0,0.39431771275477234,0.238785518534545,1.0,0.9923664122137404,0.9913978494623656,0.7924598950024654,True,35,35.0
315477,CAREONE AT WAYNE,WAYNE,Passaic,NJ,5.0,5.0,3.19842,0.8267326732673267,0,12.0,16.0,0,False,1.0,1.0,0.247096940007321,0.296766219244166,1.0,0.9694656488549618,0.9827956989247312,0.7921183532513937,True,36,36.0
315298,CRESTWOOD MANOR,WHITING,Ocean,NJ,4.0,5.0,4.25845,0.7953125,0,23.0,20.0,0,False,0.75,1.0,0.4122119331147439,0.33245551168325405,1.0,0.9618320610687023,0.9670250896057347,0.7920311156313531,True,37,37.0
315133,WOODCLIFF LAKE HEALTH & REHABILITATION CENTER,WOODCLIFF LAKE,Bergen,NJ,4.0,5.0,3.15724,0.7508771929824561,0,17.0,16.0,0,False,0.75,1.0,0.24068255983302053,0.3829283290441595,1.0,0.9694656488549618,0.9756272401433692,0.7917543168545593,True,38,38.0
315313,CAREONE AT CRESSKILL,CRESSKILL,Bergen,NJ,4.0,5.0,3.15164,0.7371681415929203,0,31.0,36.0,0,False,0.75,1.0,0.23981027889625314,0.3985000555251338,1.0,0.9312977099236641,0.9555555555555556,0.790868836496491,True,39,39.0
315217,ARISTACARE AT NORWOOD TERRACE,PLAINFIELD,Union,NJ,4.0,5.0,3.58557,0.7741666666666667,0,18.0,16.0,0,False,0.75,1.0,0.30740114798401863,0.35647446992643883,1.0,0.9694656488549618,0.9741935483870968,0.7907488396432425,True,40,40.0
315490,COMMUNITY MEDICAL CENTER TCU,TOMS RIVER,Ocean,NJ,5.0,4.0,6.25832,0.836,0,16.0,16.0,0,False,1.0,0.75,0.7237205897242192,0.2862397230636089,1.0,0.9694656488549618,0.9770609318996416,0.7877833099764036,True,41,41.0
315342,COMPLETE CARE AT BRICK LLC,BRICK,Ocean,NJ,3.0,4.0,4.01033,0.5598540145985401,0,55.0,40.0,0,False,0.5,0.75,0.3735636570378274,0.599906192851074,1.0,0.9236641221374046,0.921146953405018,0.7870066650809623,True,42,42.0
315488,CareOne At Madison Avenue,MORRISTOWN,Morris,NJ,2.0,5.0,3.87486,0.5870786516853933,0,87.0,112.0,0,False,0.25,1.0,0.3524622465907056,0.5689824921358038,1.0,0.7862595419847328,0.875268817204301,0.7836384344419393,True,43,43.0
315369,CAREONE AT VALLEY,WESTWOOD,Bergen,NJ,5.0,5.0,3.21719,0.8653061224489795,0,15.0,16.0,0,False,1.0,1.0,0.2500206387900218,0.2529517215800211,1.0,0.9694656488549618,0.978494623655914,0.7826311482886401,True,44,44.0
315445,The Arbor at Laurel Circle,BRIDGEWATER,Somerset,NJ,2.0,5.0,4.47977,0.653125,0,74.0,72.0,0,False,0.25,1.0,0.44668572185141636,0.49396229987018614,1.0,0.8625954198473282,0.8939068100358423,0.7810767750960818,True,45,45.0
315146,CARE CONNECTION RAHWAY,RAHWAY,Union,NJ,5.0,5.0,4.75243,0.9583333333333334,0,3.0,4.0,0,False,1.0,1.0,0.48915645760481014,0.1472847252271744,1.0,0.9923664122137404,0.9956989247311828,0.7799339978736614,True,46,46.0
335160,LYNBROOK RESTORATIVE THERAPY AND NURSING,LYNBROOK,Nassau,NY,5.0,5.0,3.06258,0.875,0,9.0,12.0,0,False,1.0,1.0,0.2259378967125913,0.24194071830376462,1.0,0.9770992366412213,0.9870967741935484,0.7797111473184754,True,47,47.0
335848,KENDAL ON HUDSON,SLEEPY HOLLOW,Westchester,NY,4.0,5.0,5.43386,0.8999999999999999,0,20.0,24.0,0,False,0.75,1.0,0.5952990288086356,0.21354392038078773,1.0,0.9541984732824428,0.9713261648745519,0.7793896734362853,True,48,48.0
315451,THE ELMS REHAB AND HEALTHCARE CENTER OF CRANBURY,CRANBURY,Middlesex,NJ,3.0,5.0,3.45301,0.7391666666666666,0,39.25,8.0,0,False,0.5,1.0,0.28675301209510984,0.3962299870186068,1.0,0.9847328244274809,0.9437275985663083,0.7788502425817656,True,49,49.0
335141,EMERGE NURSING AND REHABILITATION AT GLEN COVE,GLEN COVE,Nassau,NY,5.0,5.0,3.11529,0.8833333333333333,0,10.0,8.0,0,False,1.0,1.0,0.2341482410299146,0.23247511899610562,1.0,0.9847328244274809,0.985663082437276,0.778712107491642,True,50,50.0
335524,METHODIST HOME FOR NURSING AND REHABILITATION,BRONX,Bronx,NY,5.0,5.0,3.31015,0.9,0,6.0,4.0,0,False,1.0,1.0,0.264500502340361,0.21354392038078762,1.0,0.9923664122137404,0.9913978494623656,0.7777783232256308,True,51,51.0
335063,COLER REHABILITATION AND NURSING CARE CENTER,ROOSEVELT ISLAND,New York,NY,4.0,3.0,5.03055,0.6092024539877301,0,16.0,4.0,0,False,0.75,0.5,0.532477667271552,0.5438526864051096,1.0,0.9923664122137404,0.9770609318996416,0.7773902193285902,True,52,52.0
315057,MERRY HEART NURSING HOME,SUCCASUNNA,Morris,NJ,4.0,5.0,4.09869,0.8495575221238938,0,22.0,20.0,0,False,0.75,1.0,0.3873270041043934,0.2708401144200687,1.0,0.9618320610687023,0.9684587813620071,0.777152727842522,True,53,53.0
